Product Name,Manufacturer,Model Codes,Sport,Category,Subcategory,Canonical ID,Image Path,Image URL
Official Gooseneck Goalposts,OFFICIAL GOOSENECK,SS-OFU,soccer,goals-nets,official-gooseneck-goalposts,OFFICIAL GOOSENECK SS-OFU,images/product_150.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Rogers-Goal-Post_1200x1200_500x500-440x440.jpg
Classic “H” Shape Goal Post,CLASSIC “H”,SS-CHFU,soccer,goals-nets,classic-h-shape-goal-post,CLASSIC “H” SS-CHFU,images/product_151.jpg,https://tomkosports.com/wp-content/uploads/2019/12/fb_sthsfbgp_a_x-440x440.jpg
Manchester Match Goal,MANCHESTER MATCH,SS-CG-4R,soccer,goals-nets,manchester-match-goal,MANCHESTER MATCH SS-CG-4R,images/product_152.jpg,https://tomkosports.com/wp-content/uploads/2019/12/sga402_x-440x440.jpg
Euro Stadium Alumagoal,EURO STADIUM,SS-EUROS-4R,soccer,goals-nets,euro-stadium-alumagoal,EURO STADIUM SS-EUROS-4R,images/product_153.jpg,https://tomkosports.com/wp-content/uploads/2019/12/71Ax6BUzMML._SX425_.jpg
Batting Tunnels,BATTING TUNNELS,SL-BTH55 ; SL-BTXH55,baseball,batting-tunnels,batting-tunnels,BATTING TUNNELS SL-BTH55,images/product_154.jpg,https://tomkosports.com/wp-content/uploads/2022/05/Batting-Tunnels-440x440.png
Nets – Soccer,NETS –,SS-OFU,soccer,goals-nets,nets-soccer,NETS – SS-OFU,images/product_155.jpg,https://tomkosports.com/wp-content/uploads/2019/12/SS-N2.5-300x225-1.jpg
Sports Barrier Nets,SPORTS BARRIER,SL-CBN,baseball,sports-barrier-nets,,SPORTS BARRIER SL-CBN,images/product_156.jpg,https://tomkosports.com/wp-content/uploads/2019/12/barriernets_1022-1-440x293.jpg
EASY TOSS – BASEBALL,EASY TOSS,SL-ETRB,ball-machines,sports-tutor-ball-machines-canada,baseball-throwing-machines,EASY TOSS SL-ETRB,images/product_157.jpg,https://tomkosports.com/wp-content/uploads/2020/01/easy-toss-440x448.png
EASY TOSS – SOFTBALL,EASY TOSS,SL-ETRB,ball-machines,sports-tutor-ball-machines-canada,softball-throwing-machines,EASY TOSS SL-ETRB,images/product_158.jpg,https://tomkosports.com/wp-content/uploads/2020/01/easy-toss-440x448.png
BASEBALL TUTOR,TUTOR,SL-STPT,ball-machines,sports-tutor-ball-machines-canada,baseball-throwing-machines,TUTOR SL-STPT,images/product_159.jpg,https://tomkosports.com/wp-content/uploads/2020/01/Polyball-Tutor-1-440x510.jpg
BATTING TUTOR – SOFTBALL,TUTOR,SL-STBT,ball-machines,sports-tutor-ball-machines-canada,softball-throwing-machines,TUTOR SL-STBT,images/product_160.jpg,https://tomkosports.com/wp-content/uploads/2021/02/Batting-Tutor-Softball-1-440x394.jpg
